ItemID,ItemType,Genre,Author,Publisher,PublicationYear
9791171042029,4,4,Aldous Huxley,Chatto & Windus,1932
9780705893985,1,6,Henry James,Macmillan Publishers,1881
9780416357479,1,15,Bram Stoker,Archibald Constable and Company,1897
9780931364433,1,6,D.H. Lawrence,Privately printed,1928
9781812007302,1,1,George Eliot,William Blackwood and Sons,1860
9781378696811,1,1,Sinclair Lewis,Harcourt Brace and Howe,1920
9780942464481,1,2,Sebastian Faulks,Hutchinson,1993
9781283734424,1,2,Boris Pasternak,Giangiacomo Feltrinelli Editore,1957
9781150758898,1,7,Dave Eggers,Simon & Schuster,2000
9781725180161,1,7,Thomas Pynchon,J.B. Lippincott,1963
9780103504285,1,1,Virginia Woolf,Hogarth Press,1931
9790242086207,1,1,James T. Farrell,Vanguard Press,1932
9781482545319,4,4,Ray Bradbury,Ballantine Books,1953
9780553418032,1,9,Jules Verne,Pierre-Jules Hetzel,1872
9790557459123,1,6,James Baldwin,Dial Press,1956
9780507305747,4,3,Paulo Coelho,HarperCollins,1988
9790694700133,1,7,Don DeLillo,Scribner,1997
9780553418049,1,2,Toni Morrison,Alfred A. Knopf,1987
9791835190196,1,1,Theodore Dreiser,Boni & Liveright,1925
9780679720218,1,9,Mark Twain,Chatto & Windus,1884
9781855742048,1,7,Jack Kerouac,Viking Press,1958
9790281361648,1,1,Truman Capote,Random House,1948
9791696383027,1,7,J.D. Salinger,Little Brown and Company,1953
9780316769174,1,6,Jane Austen,T. Egerton,1813
9780800107567,1,1,E.M. Forster,Edward Arnold,1924
9791765502830,4,8,Fyodor Dostoevsky,The Russian Messenger,1866
9790860999958,1,7,Khaled Hosseini,Riverhead Books,2013
9780385490313,1,1,John Steinbeck,Covici Friede,1937
9780709527268,1,3,J.R.R. Tolkien,George Allen & Unwin,1954
9791413850696,1,7,Kazuo Ishiguro,Faber and Faber,1989
9790104643517,1,15,Henry James,William Heinemann,1898
9780062457721,1,9,Jules Verne,Pierre-Jules Hetzel,1870
9780316769181,1,1,Nathaniel Hawthorne,Ticknor Reed and Fields,1850
9791511144567,1,1,John Dos Passos,Harper & Brothers,1925
9790770004940,1,9,Rudyard Kipling,Macmillan Publishers,1901
9780327825753,1,1,Virginia Woolf,Hogarth Press,1927
9790223631099,1,8,Albert Camus,Gallimard,1942
9791441792197,1,8,Jean-Paul Sartre,Gallimard,1938
9780060935481,1,7,Gabriel Garcia Marquez,Harper & Row,1967
9781791639037,1,2,Ian McEwan,Jonathan Cape,2001
9781192875362,1,2,Erich Maria Remarque,Propylaen Verlag,1929
9791892762251,1,15,Robert Louis Stevenson,Longmans Green & Co.,1886
9780462088013,4,2,Charles Dickens,Chapman & Hall,1859
