ItemID,ItemType,Genre,Producer,DurationMinutes
31398296263,1,5,Alfred Hitchcock,128
886443968929,1,7,Victor Fleming,238
75679767530,1,1,Paul Thomas Anderson,158
25192374746,1,9,Alfred Hitchcock,109
50087334581,1,4,Victor Fleming,101
602537959761,1,6,Billy Wilder,121
888072087675,3,13,Prince,44
50087400002,3,14,Bob Dylan,51
888072087682,3,10,Radiohead,42
888072100003,3,11,Carole King,44
602557400014,3,14,Bob Dylan,51
43396519466,1,4,Christopher Nolan,148
75679903136,3,10,Led Zeppelin,42
602567100005,3,13,Marvin Gaye,35
715515179225,1,7,Michael Curtiz,102
24543230236,1,4,The Wachowskis,136
75679767523,1,6,Stanley Donen,103
25192339745,1,5,David Fincher,139
31398282068,1,3,Christopher Nolan,152
75678852060,1,1,Billy Wilder,110
43396557468,1,5,Alfred Hitchcock,112
602557138139,3,10,Pink Floyd,43
786936847543,1,2,Martin Scorsese,146
602547658012,1,4,Stanley Kubrick,149
602557138153,3,10,U2,55
75679903129,1,1,William Wyler,212
75679903143,3,14,Bruce Springsteen,39
602567060406,1,4,James Cameron,162
602567060437,3,10,Radiohead,48
602567060420,3,14,Paul Simon,40
888072087651,1,7,James Cameron,194
886443968936,3,11,Michael Jackson,42
75678852077,1,5,Jonathan Demme,118
883929318513,1,2,Francis Ford Coppola,177
886443968950,3,10,Guns N Roses,53
602557138122,1,1,David Lean,227
886443968943,3,10,Nirvana,49
50087334574,1,4,Stanley Kubrick,136
75678900048,3,14,Bob Dylan,73
602567060413,3,10,The Beatles,47
715515159227,1,1,Frank Darabont,142
602537959778,1,5,Coen Brothers,122
602547658029,1,2,Roman Polanski,130
24543153788,1,2,Quentin Tarantino,154
75679903150,3,10,Radiohead,53
602557138146,3,10,U2,50
888072087668,3,10,Fleetwood Mac,40
883929088386,1,1,Robert Zemeckis,142
883929421831,1,1,Orson Welles,119
786936836745,1,1,Steven Spielberg,195
9794000000001,2,4,Christopher Nolan,169
9794000000002,2,4,George Miller,120
9794000000003,2,5,Bong Joon-ho,132
