ItemID,ItemType,Manufacturer,Model
7030039913,1,Apple,MacBook Pro 14-inch M3
1767950141,1,Apple,MacBook Air M2
2067004398,1,Dell,XPS 15 9530
4263648760,1,Dell,Latitude 5540
3313394522,1,HP,EliteBook 840 G10
3101419947,1,HP,Spectre x360 14
3930751749,1,Lenovo,ThinkPad X1 Carbon Gen 11
5948990031,1,Lenovo,IdeaPad Slim 5
3837117532,1,Microsoft,Surface Laptop 5
2455163851,1,ASUS,ZenBook 14
4326338643,2,Apple,iPad Pro 12.9-inch M2
7309474672,2,Apple,iPad Air 5th Generation
2729251472,2,Samsung,Galaxy Tab S9 Ultra
5327694078,2,Samsung,Galaxy Tab S8
6170128796,2,Microsoft,Surface Pro 9
3294844113,2,Lenovo,Tab P12 Pro
4866511089,2,Amazon,Kindle Fire HD 10
7895609197,3,Olympus,BX53 Biological Microscope
5194945606,3,Mettler Toledo,XPE205 Analytical Balance
2535557871,3,Thermo Fisher,Sorvall ST 16 Centrifuge
